,Model,Optimizer,LR,Dropout,F1,Accuracy,Recall,Precision
40,google/bert_uncased_L-4_H-256_A-4,Madgrad,5e-05,0.1,0.49857625976170167,0.5119646088879952,0.4997698338349161,0.5016635314385429
41,google/bert_uncased_L-4_H-256_A-4,Madgrad,5e-05,0.25,0.483231012852716,0.5013070581138146,0.48527776624474833,0.4838656070118576
42,google/bert_uncased_L-4_H-256_A-4,Madgrad,5e-05,0.5,0.42388723649770144,0.45003016287954956,0.42149884842963975,0.4361904302036277
43,google/bert_uncased_L-4_H-256_A-4,Madgrad,5e-05,0.75,0.14955582485874525,0.2069173537100342,0.20784062151195712,0.24575818519104886
44,google/bert_uncased_L-4_H-256_A-4,Madgrad,5e-05,1.0,0.09845439275279425,0.22059119243917152,0.18231603099904006,0.07872793864381866
45,google/bert_uncased_L-4_H-256_A-4,Madgrad,0.0001,0.1,0.4977213634227057,0.51116026543334,0.4989629083931312,0.5007361320599314
46,google/bert_uncased_L-4_H-256_A-4,Madgrad,0.0001,0.25,0.4890166553227572,0.5089483209330384,0.4938812930529776,0.4879185241025462
47,google/bert_uncased_L-4_H-256_A-4,Madgrad,0.0001,0.5,0.4287153521780066,0.45023124874321335,0.4233204322381868,0.4398898504001532
48,google/bert_uncased_L-4_H-256_A-4,Madgrad,0.0001,0.75,0.12933167138389262,0.17534687311482003,0.21043622221204017,0.2147515832281766
49,google/bert_uncased_L-4_H-256_A-4,Madgrad,0.0001,1.0,0.09851896684617016,0.21797707621154233,0.18053428859076118,0.07823691460055096
50,google/bert_uncased_L-4_H-256_A-4,Madgrad,0.001,0.1,0.46461413971577076,0.48481801729338425,0.46738960018116626,0.4644646601950619
51,google/bert_uncased_L-4_H-256_A-4,Madgrad,0.001,0.25,0.4454080426328188,0.4667202895636437,0.44768200346015635,0.4449936883374628
52,google/bert_uncased_L-4_H-256_A-4,Madgrad,0.001,0.5,0.3386297548062133,0.4106173336014478,0.3763769679210843,0.346295787815453
53,google/bert_uncased_L-4_H-256_A-4,Madgrad,0.001,0.75,0.06506145815793905,0.19424894429921577,0.2,0.03884978885984315
54,google/bert_uncased_L-4_H-256_A-4,Madgrad,0.001,1.0,0.0995030871539023,0.21274884375628395,0.1773801998147015,0.07705785485904898
55,google/bert_uncased_L-4_H-256_A-4,Madgrad,0.005,0.1,0.06506145815793905,0.19424894429921577,0.2,0.03884978885984315
56,google/bert_uncased_L-4_H-256_A-4,Madgrad,0.005,0.25,0.06506145815793905,0.19424894429921577,0.2,0.03884978885984315
57,google/bert_uncased_L-4_H-256_A-4,Madgrad,0.005,0.5,0.06347487734731856,0.1886185401166298,0.2,0.03772370802332596
58,google/bert_uncased_L-4_H-256_A-4,Madgrad,0.005,0.75,0.06506145815793905,0.19424894429921577,0.2,0.03884978885984315
59,google/bert_uncased_L-4_H-256_A-4,Madgrad,0.005,1.0,0.09919552000132399,0.214558616529258,0.17847025021991658,0.07730100098721616
